Second,Count,0,1,2,3,4,5,6,7,8,9,10,11
22.5,5198,0.6611067,0.6549124,0.6945848,0.61252296,0.65933144,0.6302094,0.6987923,0.7589655,0.6645753,0.6570552,0.64358515,0.63462496
23.0,4910,0.35833362,0.6499347,0.898704,0.56273824,0.23161584,0.14009401,0.14953798,0.20528634,0.1619447,0.15337509,0.16271129,0.2048211
23.5,5234,0.5962104,0.6377897,0.84816074,0.7303866,0.49377987,0.39647532,0.4066808,0.3834956,0.3229505,0.39894006,0.45480803,0.48821446
24.0,5088,0.38376117,0.3932315,0.4633884,0.41928303,0.43326285,0.4929438,0.39722505,0.50645965,0.4886264,0.6471346,0.6673142,0.45059052
24.5,5083,0.18693224,0.29756975,0.39302844,0.15476443,0.183347,0.24540952,0.37230262,0.44677046,0.25520104,0.39085096,0.45936987,0.3967356
25.0,4987,0.43691307,0.49014798,0.80145395,0.39538983,0.5828026,0.71384716,0.51362246,0.7105558,0.42268553,0.3848558,0.41414464,0.46815792
25.5,4831,0.3198393,0.51911163,0.67897296,0.688434,0.59792733,0.41277903,0.23170032,0.20177214,0.18880127,0.21655379,0.24010123,0.26582778
26.0,4847,0.37577027,0.64858145,0.8366081,0.62544125,0.33531317,0.28076035,0.2886036,0.27146885,0.24997553,0.30825785,0.3910455,0.37320417
26.5,4762,0.4615067,0.56167555,0.7385936,0.5748504,0.47792208,0.47052127,0.48197272,0.42495707,0.392227,0.4723109,0.45941716,0.4815833
27.0,4744,0.30739745,0.3562537,0.41545796,0.3898141,0.4091195,0.430626,0.46690303,0.5336986,0.45834514,0.62903434,0.6427889,0.41977885
27.5,4736,0.3051688,0.38551414,0.32837334,0.21334708,0.24016951,0.2629678,0.36271068,0.58059895,0.39501923,0.44419506,0.41137242,0.4044352
28.0,4646,0.3290858,0.39398345,0.7036607,0.3175015,0.4460509,0.5498775,0.5188373,0.77989554,0.44587037,0.3822374,0.31111354,0.36655724
28.5,4568,0.33450422,0.55676126,0.7240762,0.6734483,0.53645504,0.39727926,0.2108082,0.1697344,0.17045428,0.18682258,0.22235851,0.2704458
29.0,4339,0.19971617,0.41539454,0.6042059,0.41814294,0.23784702,0.25015983,0.14550303,0.10366224,0.10492529,0.18449517,0.2743084,0.30454692
29.5,4625,0.41372028,0.3295891,0.31446013,0.3364782,0.46941373,0.4585542,0.39106342,0.29242218,0.29438037,0.47112548,0.58970416,0.6260775
30.0,4705,0.4043134,0.41087878,0.44528136,0.41277552,0.45762417,0.5158337,0.57663786,0.736081,0.6048173,0.37597695,0.39176306,0.44552466
30.5,4580,0.1987966,0.16477574,0.1772374,0.18681699,0.19527338,0.1684361,0.20589389,0.47128993,0.60378087,0.7511459,0.31817874,0.2356274
31.0,4547,0.305725,0.28755578,0.34780896,0.59929293,0.77455467,0.5074731,0.23716764,0.31666914,0.17978689,0.17248954,0.17578237,0.24302165
31.5,4451,0.62784773,0.59585035,0.65508586,0.6948801,0.73855895,0.63413525,0.5527825,0.5947556,0.54273015,0.6659041,0.5691981,0.5960937
32.0,4352,0.38628188,0.41709474,0.3586364,0.35196355,0.43125668,0.38560048,0.387339,0.43676737,0.35987163,0.61011606,0.5392162,0.45749912
32.5,4107,0.5766284,0.40344784,0.35406038,0.35052946,0.3938007,0.38171694,0.41154,0.44347426,0.39101475,0.56364363,0.63064575,0.6698783
33.0,4165,0.27815223,0.35966548,0.6393392,0.37729165,0.25300977,0.24036878,0.3684305,0.73968965,0.4549084,0.2894191,0.28345364,0.24938355
33.5,4139,0.24000539,0.18458632,0.2521052,0.23622003,0.19280674,0.1708721,0.18027829,0.3066313,0.51866907,0.84151167,0.4746473,0.2330309
34.0,4127,0.23607928,0.24492405,0.37156254,0.66323656,0.8657883,0.45255136,0.14249113,0.11755684,0.12816755,0.16832262,0.17144245,0.20867129
34.5,4015,0.61134064,0.6490293,0.71306443,0.62603503,0.68631214,0.53639483,0.513604,0.5657221,0.5733202,0.7031505,0.5783921,0.5251679
35.0,4115,0.42791194,0.36850393,0.3829542,0.32907107,0.506429,0.32735968,0.27936065,0.30418494,0.35220018,0.6002274,0.47375914,0.35672554
35.5,4042,0.5161038,0.46829712,0.4964021,0.45597032,0.5727486,0.39321625,0.36181602,0.35156593,0.3798766,0.5241913,0.56095695,0.6547738
36.0,4246,0.46583787,0.5072073,0.59982574,0.47941983,0.50846523,0.57216203,0.6105767,0.8803253,0.54798603,0.4202805,0.3925299,0.4312917
36.5,4127,0.16920383,0.2848398,0.16054852,0.18234447,0.33573276,0.19519302,0.22317146,0.37892234,0.47091338,0.6812281,0.33494025,0.17719267
