Second,Count,Tempo (BPM),Beat Times (s)
98.5,2248,[107.66601562],109.86521541950114
99.0,2181,[107.66601562],110.42249433106576
99.5,2156,[107.66601562],110.95655328798186
100.0,3206,[107.66601562],111.537052154195
100.5,4046,[107.66601562],112.08272108843538
101.0,4059,[107.66601562],112.64
101.5,4192,[107.66601562],113.1740589569161
102.0,3784,[107.66601562],113.75455782312925
102.5,3309,[107.66601562],114.31183673469388
103.0,2212,[107.66601562],114.8691156462585
103.5,2355,[107.66601562],115.42639455782312
104.0,2160,[107.66601562],115.98367346938775
104.5,2299,[107.66601562],116.52934240362812
105.0,2488,[107.66601562],117.08662131519274
105.5,3482,[107.66601562],117.63229024943313
106.0,4928,[107.66601562],118.201179138322
106.5,4181,[107.66601562],118.74684807256236
107.0,3535,[107.66601562],119.31573696145124
107.5,3586,[107.66601562],119.84979591836736
108.0,3076,[107.66601562],120.4302947845805
108.5,2477,[107.66601562],120.97596371882086
109.0,2608,[107.66601562],121.53324263038547
109.5,2655,[107.66601562],122.0673015873016
110.0,2806,[107.66601562],122.64780045351472
110.5,2853,[107.66601562],123.1934693877551
111.0,3397,[107.66601562],123.762358276644
111.5,3677,[107.66601562],124.31963718820862
112.0,3927,[107.66601562],124.86530612244898
112.5,3414,[107.66601562],125.4225850340136
113.0,3014,[107.66601562],125.97986394557824
113.5,2431,[107.66601562],126.51392290249431
114.0,1902,[107.66601562],127.09442176870748
114.5,2060,[107.66601562],127.64009070294784
115.0,2472,[107.66601562],128.19736961451247
115.5,2346,[107.66601562],128.73142857142858
116.0,1979,[107.66601562],129.3119274376417
116.5,1710,[107.66601562],129.8575963718821
117.0,1857,[107.66601562],130.426485260771
117.5,1689,[107.66601562],130.96054421768707
118.0,1995,[107.66601562],131.54104308390023
118.5,2093,[107.66601562],132.0867120181406
119.0,2283,[107.66601562],132.6439909297052
119.5,2078,[107.66601562],133.18965986394556
120.0,2050,[107.66601562],133.73532879818595
120.5,1962,[107.66601562],134.29260770975057
121.0,1886,[107.66601562],134.8498866213152
121.5,1764,[107.66601562],135.40716553287982
122.0,1892,[107.66601562],135.96444444444444
122.5,1678,[107.66601562],136.52172335600906
123.0,1734,[107.66601562],137.07900226757369
123.5,1570,[107.66601562],137.62467120181407
124.0,1721,[107.66601562],138.1819501133787
124.5,1599,[107.66601562],138.76244897959182
125.0,1747,[107.66601562],139.33133786848072
125.5,1558,[107.66601562],139.91183673469388
126.0,1459,[107.66601562],140.4691156462585
126.5,1091,[107.66601562],141.02639455782312
127.0,1113,[107.66601562],141.57206349206348
127.5,1537,[107.66601562],142.1061224489796
128.0,1685,[107.66601562],142.65179138321994
128.5,1554,[107.66601562],143.22068027210884
129.0,1631,[107.66601562],143.75473922902495
129.5,1486,[107.66601562],144.31201814058957
130.0,1500,[107.66601562],144.81124716553288
130.5,1489,[107.66601562],145.32208616780045
131.0,1559,[107.66601562],145.8445351473923
131.5,1722,[107.66601562],146.44825396825397
132.0,1671,[107.66601562],147.07519274376418
132.5,1353,[107.66601562],147.64408163265307
133.0,1143,[107.66601562],148.2013605442177
133.5,1204,[107.66601562],148.74702947845805
134.0,1179,[107.66601562],149.30430839002267
134.5,1182,[107.66601562],149.84997732426305
135.0,1105,[107.66601562],150.41886621315192
135.5,1177,[107.66601562],150.9877551020408
136.0,1087,[107.66601562],151.5334240362812
136.5,1099,[107.66601562],152.0907029478458
137.0,1051,[107.66601562],152.6247619047619
137.5,1004,[107.66601562],153.20526077097506
138.0,952,[107.66601562],153.7509297052154
138.5,1003,[107.66601562],154.2965986394558
139.0,1062,[107.66601562],154.7958276643991
139.5,1053,[107.66601562],155.39954648526077
140.0,1087,[107.66601562],155.98004535147393
140.5,1002,[107.66601562],156.5257142857143
141.0,979,[107.66601562],157.07138321995464
141.5,904,[107.66601562],157.5590022675737
142.0,946,[107.66601562],158.03501133786847
142.5,933,[107.66601562],158.51102040816326
143.0,932,[107.66601562],159.06829931972788
143.5,943,[107.66601562],159.6255782312925
144.0,885,[107.66601562],160.25251700680272
144.5,891,[107.66601562],160.8562358276644
145.0,828,[107.66601562],161.45995464852606
145.5,860,[107.66601562],162.075283446712
146.0,753,[107.66601562],162.6441723356009
146.5,812,[107.66601562],163.18984126984128
147.0,720,[107.66601562],163.7471201814059
147.5,782,[107.66601562],164.29278911564626
148.0,804,[107.66601562],164.86167800453515
148.5,795,[107.66601562],165.41895691609977
149.0,777,[107.66601562],165.9762358276644
149.5,839,[107.66601562],166.52190476190475
150.0,907,[107.66601562],167.09079365079364
150.5,930,[107.66601562],167.63646258503402
151.0,1006,[107.66601562],168.2053514739229
151.5,1033,[107.66601562],168.739410430839
152.0,1056,[107.66601562],169.3082993197279
152.5,1033,[107.66601562],169.86557823129252
153.0,1033,[107.66601562],170.42285714285714
153.5,1046,[107.66601562],170.98013605442176
154.0,1033,[107.66601562],171.5374149659864
154.5,1108,[107.66601562],172.08308390022677
155.0,1053,[107.66601562],172.6403628117914
155.5,1055,[107.66601562],173.18603174603174
156.0,1077,[107.66601562],173.75492063492064
156.5,1153,[107.66601562],174.300589569161
157.0,1072,[107.66601562],174.86947845804988
157.5,1047,[107.66601562],175.41514739229024
158.0,1106,[107.66601562],175.98403628117913
158.5,1022,[107.66601562],176.51809523809524
159.0,858,[107.66601562],177.0869841269841
159.5,860,[107.66601562],177.6326530612245
160.0,954,[107.66601562],178.20154195011338
160.5,1022,[107.66601562],178.74721088435373
161.0,1219,[107.66601562],179.31609977324263
161.5,1182,[107.66601562],179.87337868480725
162.0,1082,[107.66601562],180.43065759637187
162.5,1059,[107.66601562],180.97632653061223
163.0,1108,[107.66601562],181.53360544217688
163.5,1094,[107.66601562],182.06766439909296
164.0,1091,[107.66601562],182.64816326530607
164.5,1106,[107.66601562],183.19383219954648
165.0,1044,[107.66601562],183.7511111111111
165.5,1026,[107.66601562],184.29678004535148
166.0,953,[107.66601562],184.8656689342404
166.5,890,[107.66601562],185.41133786848076
167.0,918,[107.66601562],185.9802267573696
167.5,1230,[107.66601562],186.5142857142857
168.0,1261,[107.66601562],187.09478458049887
168.5,1442,[107.66601562],187.62884353741495
169.0,1395,[107.66601562],188.19773242630384
169.5,1292,[107.66601562],188.75501133786847
170.0,1282,[107.66601562],189.31229024943312
170.5,880,[107.66601562],189.8695691609977
171.0,1378,[107.66601562],190.4268480725624
171.5,1639,[107.66601562],190.96090702947845
172.0,1987,[107.66601562],191.5297959183673
172.5,1994,[107.66601562],192.087074829932
173.0,1950,[107.66601562],192.6443537414966
173.5,1914,[107.66601562],193.19002267573697
174.0,2223,[107.66601562],193.75891156462583
174.5,2235,[107.66601562],194.30458049886624
175.0,2251,[107.66601562],194.8734693877551
175.5,2353,[107.66601562],195.4075283446712
176.0,2373,[107.66601562],195.97641723356008
176.5,2177,[107.66601562],196.5336961451247
177.0,2152,[107.66601562],197.09097505668933
177.5,2158,[107.66601562],197.648253968254
178.0,2040,[107.66601562],198.2055328798186
178.5,1995,[107.66601562],198.7395918367347
179.0,1697,[107.66601562],199.3084807256236
179.5,1758,[107.66601562],199.8425396825397
180.0,2080,[107.66601562],200.42303854875283
180.5,2025,[107.66601562],200.9687074829932
181.0,2333,[107.66601562],201.52598639455783
181.5,2276,[107.66601562],202.06004535147392
182.0,2586,[107.66601562],202.64054421768708
182.5,2260,[107.66601562],203.18621315192743
183.0,1904,[107.66601562],203.75510204081635
183.5,1688,[107.66601562],204.28916099773244
184.0,1555,[107.66601562],204.8580498866213
184.5,1375,[107.66601562],205.41532879818595
185.0,1199,[107.66601562],205.97260770975055
185.5,1160,0,0.0
186.0,1260,0,0.0
186.5,1257,0,0.0
187.0,1454,0,0.0
187.5,1485,0,0.0
188.0,1284,0,0.0
188.5,1007,0,0.0
189.0,885,0,0.0
189.5,958,0,0.0
190.0,1041,0,0.0
190.5,1083,0,0.0
191.0,1099,0,0.0
191.5,1241,0,0.0
192.0,1323,0,0.0
192.5,1311,0,0.0
193.0,1256,0,0.0
193.5,1176,0,0.0
194.0,1197,0,0.0
194.5,1163,0,0.0
195.0,1155,0,0.0
195.5,1038,0,0.0
196.0,1020,0,0.0
196.5,961,0,0.0
197.0,882,0,0.0
197.5,786,0,0.0
198.0,743,0,0.0
198.5,733,0,0.0
199.0,727,0,0.0
199.5,627,0,0.0
200.0,650,0,0.0
200.5,563,0,0.0
201.0,560,0,0.0
201.5,472,0,0.0
202.0,431,0,0.0
202.5,325,0,0.0
203.0,255,0,0.0
203.5,196,0,0.0
204.0,171,0,0.0
204.5,117,0,0.0
205.0,74,0,0.0
205.5,21,0,0.0
206.0,18,0,0.0
206.5,6,0,0.0
207.0,3,0,0.0
207.5,9,0,0.0
208.0,2,0,0.0
208.5,2,0,0.0
209.0,1,0,0.0
210.0,3,0,0.0
210.5,1,0,0.0
211.5,2,0,0.0
